account_id,trade_profit,funding_profit,reward_profit,total_profit
A_26ffea8fd9,8462160.4524139,2369.5210136163073,243.54482001104577,8464773.518247526
A_2db64f326b,12885115.917777501,-21989.199131351863,263.1235818510439,12863389.842228001
A_4081f88bb0,28654401.26521102,-731.2672682557472,40.398781979999995,28653710.396724746
A_55021b4ae2,-385.5950500000001,-0.22084534283273982,534.89877,149.08287465716717
A_78e950c1a2,-136.0521235000123,-0.09980485693010928,21.55457236153846,-114.59735599540396
A_7e27164ab6,47038615.6557139,45324.856859479565,177.79001880157895,47084118.30259219
A_c462ca9c6b,16780.239392000098,1711.2078008214492,95.71786964226135,18587.165062463806
A_c91db6cabf,-290.14712999999847,0.2543541875,534.9120995000001,245.01932368750158
A_cab220ef3c,47154711.45690534,-16488.415770611624,1773.536295645769,47139996.577430375
A_d444580218,12571.433252560011,-5923.192704922875,336.89586676478524,6985.136414401921
A_f2ab53d645,-555897.8569339999,1843.0179035617314,208.98880080333333,-553845.8502296349
A_f96ede8d34,-350.2160952100347,-9649.186412726396,796.0282943435294,-9203.374213592902
